species	official gene symbol	cell type	nicknames	ubiquitousness index	product description	gene type	canonical marker	germ layer	organ	sensitivity_human	sensitivity_mouse	specificity_human	specificity_mouse
Mm Hs	CTRB1	Acinar cells	CTRB	0.017	chymotrypsinogen B1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.957143	0.000628931	0.0159201
Mm Hs	KLK1	Acinar cells	Klk6	0.013	kallikrein 1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.314286	0.00503145	0.0128263
Mm Hs	RBPJL	Acinar cells	RBP-L|SUHL|RBPSUHL	0.001	recombination signal binding protein for immunoglobulin kappa J region like	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0	0.0
Mm Hs	PTF1A	Acinar cells	PTF1-p48|bHLHa29	0.001	pancreas associated transcription factor 1a	protein-coding gene	1	Endoderm	Pancreas	0.0	0.157143	0.000628931	0.000773445
Mm	TRY4	Acinar cells	NA	0.007	trypsin 4	protein coding gene	1	Endoderm	Pancreas	NA	NA	NA	NA
Mm Hs	CELA3A	Acinar cells	ELA3|ELA3A	0.001	chymotrypsin like elastase family member 3A	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.128571	0.0	0.0
Mm Hs	PRSS1	Acinar cells	TRY1	0.002	serine protease 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0285714	0.00597484	0.0
Mm	AMY2A2	Acinar cells	NA	0.001	amylase 2a2	protein coding gene	NA	Endoderm	Pancreas	0.0	0.157143	0.0	0.0
Mm Hs	SPINK1	Acinar cells	Spink3|PCTT|PSTI|TATI	0.029	serine peptidase inhibitor, Kazal type 1	protein-coding gene	1	Endoderm	Pancreas	1.0	0.0	0.0352201	0.0
Mm Hs	ZG16	Acinar cells	hZG16|JCLN1|ZG16A|JCLN	0.013	zymogen granule protein 16	protein-coding gene	1	Endoderm	Pancreas	0.0	0.0	0.0144654	0.0
Mm Hs	CEL	Acinar cells	BSSL|MODY8	0.002	carboxyl ester lipase	protein-coding gene	1	Endoderm	Pancreas	0.166667	0.442857	0.0	0.000837899
Mm Hs	CELA2A	Acinar cells	ELA2A	0.005	chymotrypsin like elastase family member 2A	protein-coding gene	1	Endoderm	Pancreas	0.333333	0.628571	0.0	0.00290042
Mm	AMY2A3	Acinar cells	NA	0.001	amylase 2a3	protein coding gene	1	Endoderm	Pancreas	0.0	0.342857	0.0	0.000128908
Mm Hs	CPB1	Acinar cells	NA	0.005	carboxypeptidase B1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.5	0.00786164	0.00232034
Mm Hs	CELA1	Acinar cells	ELA1	0.017	chymotrypsin like elastase family member 1	protein-coding gene	1	Endoderm	Pancreas	0.0	0.814286	0.0	0.017467
Mm	AMY2A5	Acinar cells	NA	0.002	amylase 2a5	protein coding gene	1	Endoderm	Pancreas	0.0	0.414286	0.0	0.00051563
Mm Hs	RNASE1	Acinar cells	RAC1|RNS1	0.022	ribonuclease A family member 1, pancreatic	protein-coding gene	1	Endoderm	Pancreas	0.75	0.0	0.0877358	0.0
Mm Hs	AMY2B	Acinar cells	NA	0.003	amylase, alpha 2B (pancreatic)	protein-coding gene	1	Endoderm	Pancreas	0.0833333	0.528571	0.0	0.00148244
Mm Hs	CPA2	Acinar cells	NA	0.004	carboxypeptidase A2	protein-coding gene	1	Endoderm	Pancreas	0.916667	0.457143	0.0	0.00277151
Mm Hs	CPA1	Acinar cells	CPA	0.006	carboxypeptidase A1	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.585714	0.0	0.00438286
Mm Hs	CELA3B	Acinar cells	CBPP|ELA3B	0.007	chymotrypsin like elastase family member 3B	protein-coding gene	1	Endoderm	Pancreas	0.75	0.8	0.00125786	0.00502739
Mm Hs	PNLIP	Acinar cells	NA	0.005	pancreatic lipase	protein-coding gene	1	Endoderm	Pancreas	0.833333	0.585714	0.000314465	0.00354496
