cellType,gene
HSC,HLF
HSC,IFITM1
HSC,LY6A
Mk,PF4
Mk,VWF
Mk,ITGA2B
Ery,MKI67
Ery,GATA1
Ery,CAR2
Ery,HBB-BS
Ery,HBA-A2
Ery,CAR1
Ery,APOE
Ery,GATA2
Mono,F13A1
Mono,LY86
Mono,CSF1R
Mono,C1QB
Gr,IFITM1
Gr,MPO
Gr,ELANE
Gr,CEBPE
Gr,PRSS34
Gr,PRG2
Gr,GSTM1
Gr,FCNB
Gr,LTF
Gr,GFI1
Gr,MMP8
Gr,ITGAM
Gr,IL1B
Gr,CCL6
Lym,DNTT
Lym,SATB1
Lym,FLT3
Lym,LY6D
Lym,RAG1
Lym,EBF1
Lym,CD79A
Lym,GATA3
Lym,PAX5
Lym,VPREB1
Lym,VPREB2
Lym,VPREB3
Lym,IGLL1
Lym,FCRLA
Lym,CCL5
Lym,NCR1
Lym,CD3D
GMP,IFITM1
GMP,MPO
GMP,F13A1
GMP,LY86
GMP,CSF1R
GMP,ELANE
GMP,CEBPE
GMP,C1QB
GMP,PRSS34
GMP,PRG2
GMP,GSTM1
GMP,FCNB
GMP,LTF
GMP,GFI1
GMP,MMP8
GMP,ITGAM
GMP,IL1B
GMP,CCL6
MEP,MKI67
MEP,PF4
MEP,GATA1
MEP,CAR2
MEP,HBB-BS
MEP,HBA-A2
MEP,CAR1
MEP,APOE
MEP,GATA2
